R,G,B,Class
100,125,103,1
102,126,104,1
103,126,103,1
101,126,104,1
104,128,106,1
104,128,106,1
104,128,107,1
106,130,108,1
105,128,106,1
118,125,108,1
119,126,108,1
119,125,108,1
118,124,108,1
118,124,107,1
115,120,104,1
122,128,111,1
122,129,112,1
120,126,110,1
84,106,97,1
82,103,94,1
85,106,96,1
81,104,94,1
80,102,92,1
82,103,93,1
77,101,92,1
77,100,91,1
78,100,90,1
132,136,118,1
132,137,118,1
132,138,118,1
133,136,118,1
133,138,118,1
133,139,119,1
135,137,118,1
134,138,118,1
134,139,119,1
124,132,115,1
125,133,116,1
126,134,117,1
123,132,114,1
123,131,114,1
125,132,116,1
124,133,116,1
126,134,118,1
126,134,118,1
118,126,110,1
118,127,108,1
122,130,112,1
114,122,106,1
114,122,104,1
119,126,109,1
112,120,105,1
111,119,102,1
114,122,105,1
124,130,110,1
127,133,112,1
130,136,114,1
126,132,112,1
127,133,112,1
128,134,113,1
127,133,113,1
127,133,112,1
127,133,112,1
144,142,118,1
144,142,118,1
144,142,118,1
147,143,117,1
146,142,116,1
144,142,116,1
146,142,117,1
147,144,118,1
148,146,120,1
124,137,120,1
121,134,116,1
118,130,112,1
125,137,119,1
122,134,116,1
119,131,112,1
124,136,117,1
122,134,116,1
121,133,114,1
92,121,101,1
95,124,104,1
98,128,106,1
91,121,101,1
94,124,104,1
98,128,107,1
92,122,102,1
94,124,104,1
96,126,105,1
108,120,108,1
108,121,107,1
107,122,106,1
106,119,106,1
109,123,108,1
110,125,108,1
108,122,107,1
108,123,106,1
110,126,107,1
100,116,104,1
102,119,106,1
104,122,108,1
106,123,111,1
104,122,110,1
102,121,108,1
102,119,106,1
102,119,106,1
101,119,106,1
120,124,113,1
122,127,114,1
122,128,114,1
118,122,112,1
123,127,117,1
123,128,116,1
118,122,111,1
124,128,116,1
124,128,116,1
104,115,100,1
105,117,101,1
101,114,98,1
109,120,104,1
110,122,106,1
107,120,104,1
114,126,108,1
116,128,110,1
114,126,108,1
111,125,108,1
